PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
SWE,1,f,0,1,O,1,7,1751,31,O,27127,.,.,.,1
SWE,1,f,1,2,O,1,7,1751,31,O,49895,.,.,.,1
SWE,1,f,3,2,O,1,7,1751,31,O,47264,.,.,.,1
SWE,1,f,5,5,O,1,7,1751,31,O,89148,.,.,.,1
SWE,1,f,10,5,O,1,7,1751,31,O,88017,.,.,.,1
SWE,1,f,15,5,O,1,7,1751,31,O,83206,.,.,.,1
SWE,1,f,20,5,O,1,7,1751,31,O,81877,.,.,.,1
SWE,1,f,25,5,O,1,7,1751,31,O,75966,.,.,.,1
SWE,1,f,30,5,O,1,7,1751,31,O,64870,.,.,.,1
SWE,1,f,35,5,O,1,7,1751,31,O,55368,.,.,.,1
SWE,1,f,40,5,O,1,7,1751,31,O,50642,.,.,.,1
SWE,1,f,45,5,O,1,7,1751,31,O,43647,.,.,.,1
SWE,1,f,50,5,O,1,7,1751,31,O,43411,.,.,.,1
SWE,1,f,55,5,O,1,7,1751,31,O,33508,.,.,.,1
SWE,1,f,60,5,O,1,7,1751,31,O,39769,.,.,.,1
SWE,1,f,65,5,O,1,7,1751,31,O,28201,.,.,.,1
SWE,1,f,70,5,O,1,7,1751,31,O,19507,.,.,.,1
SWE,1,f,75,5,O,1,7,1751,31,O,9273,.,.,.,1
SWE,1,f,80,5,O,1,7,1751,31,O,6352,.,.,.,1
SWE,1,f,85,5,O,1,7,1751,31,O,2004,.,.,.,1
SWE,1,f,90,+,O,1,7,1751,31,O,1039,.,.,.,1
SWE,1,m,0,1,O,1,7,1751,31,O,27895,.,.,.,1
SWE,1,m,1,2,O,1,7,1751,31,O,49099,.,.,.,1
SWE,1,m,3,2,O,1,7,1751,31,O,46368,.,.,.,1
SWE,1,m,5,5,O,1,7,1751,31,O,87840,.,.,.,1
SWE,1,m,10,5,O,1,7,1751,31,O,87377,.,.,.,1
SWE,1,m,15,5,O,1,7,1751,31,O,78064,.,.,.,1
SWE,1,m,20,5,O,1,7,1751,31,O,70416,.,.,.,1
SWE,1,m,25,5,O,1,7,1751,31,O,68107,.,.,.,1
SWE,1,m,30,5,O,1,7,1751,31,O,58330,.,.,.,1
SWE,1,m,35,5,O,1,7,1751,31,O,50403,.,.,.,1
SWE,1,m,40,5,O,1,7,1751,31,O,44001,.,.,.,1
SWE,1,m,45,5,O,1,7,1751,31,O,37918,.,.,.,1
SWE,1,m,50,5,O,1,7,1751,31,O,34441,.,.,.,1
SWE,1,m,55,5,O,1,7,1751,31,O,24561,.,.,.,1
SWE,1,m,60,5,O,1,7,1751,31,O,26050,.,.,.,1
SWE,1,m,65,5,O,1,7,1751,31,O,19599,.,.,.,1
SWE,1,m,70,5,O,1,7,1751,31,O,12507,.,.,.,1
SWE,1,m,75,5,O,1,7,1751,31,O,5939,.,.,.,1
SWE,1,m,80,5,O,1,7,1751,31,O,3628,.,.,.,1
SWE,1,m,85,5,O,1,7,1751,31,O,1294,.,.,.,1
SWE,1,m,90,+,O,1,7,1751,31,O,605,.,.,.,1
SWE,1,f,0,1,O,1,7,1752,31,O,27257,.,.,.,1
SWE,1,f,1,2,O,1,7,1752,31,O,52200,.,.,.,1
SWE,1,f,3,2,O,1,7,1752,31,O,47313,.,.,.,1
SWE,1,f,5,5,O,1,7,1752,31,O,90614,.,.,.,1
SWE,1,f,10,5,O,1,7,1752,31,O,87576,.,.,.,1
SWE,1,f,15,5,O,1,7,1752,31,O,83670,.,.,.,1
SWE,1,f,20,5,O,1,7,1752,31,O,82438,.,.,.,1
SWE,1,f,25,5,O,1,7,1752,31,O,76996,.,.,.,1
SWE,1,f,30,5,O,1,7,1752,31,O,67053,.,.,.,1
SWE,1,f,35,5,O,1,7,1752,31,O,55601,.,.,.,1
SWE,1,f,40,5,O,1,7,1752,31,O,51730,.,.,.,1
SWE,1,f,45,5,O,1,7,1752,31,O,43221,.,.,.,1
SWE,1,f,50,5,O,1,7,1752,31,O,44188,.,.,.,1
SWE,1,f,55,5,O,1,7,1752,31,O,33221,.,.,.,1
SWE,1,f,60,5,O,1,7,1752,31,O,38528,.,.,.,1
SWE,1,f,65,5,O,1,7,1752,31,O,28320,.,.,.,1
SWE,1,f,70,5,O,1,7,1752,31,O,19803,.,.,.,1
SWE,1,f,75,5,O,1,7,1752,31,O,9358,.,.,.,1
SWE,1,f,80,5,O,1,7,1752,31,O,6256,.,.,.,1
SWE,1,f,85,5,O,1,7,1752,31,O,2023,.,.,.,1
SWE,1,f,90,+,O,1,7,1752,31,O,1011,.,.,.,1
SWE,1,m,0,1,O,1,7,1752,31,O,27983,.,.,.,1
SWE,1,m,1,2,O,1,7,1752,31,O,51466,.,.,.,1
SWE,1,m,3,2,O,1,7,1752,31,O,46478,.,.,.,1
SWE,1,m,5,5,O,1,7,1752,31,O,89953,.,.,.,1
SWE,1,m,10,5,O,1,7,1752,31,O,87575,.,.,.,1
SWE,1,m,15,5,O,1,7,1752,31,O,78500,.,.,.,1
SWE,1,m,20,5,O,1,7,1752,31,O,69730,.,.,.,1
SWE,1,m,25,5,O,1,7,1752,31,O,69119,.,.,.,1
SWE,1,m,30,5,O,1,7,1752,31,O,60156,.,.,.,1
SWE,1,m,35,5,O,1,7,1752,31,O,50771,.,.,.,1
SWE,1,m,40,5,O,1,7,1752,31,O,45151,.,.,.,1
SWE,1,m,45,5,O,1,7,1752,31,O,37579,.,.,.,1
SWE,1,m,50,5,O,1,7,1752,31,O,35617,.,.,.,1
SWE,1,m,55,5,O,1,7,1752,31,O,24711,.,.,.,1
SWE,1,m,60,5,O,1,7,1752,31,O,25586,.,.,.,1
SWE,1,m,65,5,O,1,7,1752,31,O,19513,.,.,.,1
SWE,1,m,70,5,O,1,7,1752,31,O,12848,.,.,.,1
SWE,1,m,75,5,O,1,7,1752,31,O,6011,.,.,.,1
SWE,1,m,80,5,O,1,7,1752,31,O,3488,.,.,.,1
SWE,1,m,85,5,O,1,7,1752,31,O,1268,.,.,.,1
SWE,1,m,90,+,O,1,7,1752,31,O,578,.,.,.,1
SWE,1,f,0,1,O,1,7,1753,31,O,26606,.,.,.,1
SWE,1,f,1,2,O,1,7,1753,31,O,53108,.,.,.,1
SWE,1,f,3,2,O,1,7,1753,31,O,47937,.,.,.,1
SWE,1,f,5,5,O,1,7,1753,31,O,92304,.,.,.,1
SWE,1,f,10,5,O,1,7,1753,31,O,87338,.,.,.,1
SWE,1,f,15,5,O,1,7,1753,31,O,83540,.,.,.,1
SWE,1,f,20,5,O,1,7,1753,31,O,83059,.,.,.,1
SWE,1,f,25,5,O,1,7,1753,31,O,77364,.,.,.,1
SWE,1,f,30,5,O,1,7,1753,31,O,69014,.,.,.,1
SWE,1,f,35,5,O,1,7,1753,31,O,56364,.,.,.,1
SWE,1,f,40,5,O,1,7,1753,31,O,52684,.,.,.,1
SWE,1,f,45,5,O,1,7,1753,31,O,43388,.,.,.,1
SWE,1,f,50,5,O,1,7,1753,31,O,44592,.,.,.,1
SWE,1,f,55,5,O,1,7,1753,31,O,33588,.,.,.,1
SWE,1,f,60,5,O,1,7,1753,31,O,37235,.,.,.,1
SWE,1,f,65,5,O,1,7,1753,31,O,28707,.,.,.,1
SWE,1,f,70,5,O,1,7,1753,31,O,20143,.,.,.,1
SWE,1,f,75,5,O,1,7,1753,31,O,9765,.,.,.,1
SWE,1,f,80,5,O,1,7,1753,31,O,6120,.,.,.,1
SWE,1,f,85,5,O,1,7,1753,31,O,2106,.,.,.,1
SWE,1,f,90,+,O,1,7,1753,31,O,955,.,.,.,1
SWE,1,m,0,1,O,1,7,1753,31,O,27291,.,.,.,1
SWE,1,m,1,2,O,1,7,1753,31,O,52432,.,.,.,1
SWE,1,m,3,2,O,1,7,1753,31,O,47161,.,.,.,1
SWE,1,m,5,5,O,1,7,1753,31,O,91090,.,.,.,1
SWE,1,m,10,5,O,1,7,1753,31,O,87482,.,.,.,1
SWE,1,m,15,5,O,1,7,1753,31,O,77708,.,.,.,1
SWE,1,m,20,5,O,1,7,1753,31,O,71812,.,.,.,1
SWE,1,m,25,5,O,1,7,1753,31,O,69400,.,.,.,1
SWE,1,m,30,5,O,1,7,1753,31,O,62174,.,.,.,1
SWE,1,m,35,5,O,1,7,1753,31,O,51665,.,.,.,1
SWE,1,m,40,5,O,1,7,1753,31,O,46563,.,.,.,1
SWE,1,m,45,5,O,1,7,1753,31,O,37626,.,.,.,1
SWE,1,m,50,5,O,1,7,1753,31,O,36270,.,.,.,1
SWE,1,m,55,5,O,1,7,1753,31,O,25231,.,.,.,1
SWE,1,m,60,5,O,1,7,1753,31,O,25165,.,.,.,1
SWE,1,m,65,5,O,1,7,1753,31,O,19554,.,.,.,1
SWE,1,m,70,5,O,1,7,1753,31,O,13170,.,.,.,1
SWE,1,m,75,5,O,1,7,1753,31,O,6268,.,.,.,1
SWE,1,m,80,5,O,1,7,1753,31,O,3406,.,.,.,1
SWE,1,m,85,5,O,1,7,1753,31,O,1280,.,.,.,1
SWE,1,m,90,+,O,1,7,1753,31,O,552,.,.,.,1
SWE,1,f,0,1,O,1,7,1754,31,O,27452,.,.,.,1
SWE,1,f,1,2,O,1,7,1754,31,O,52195,.,.,.,1
SWE,1,f,3,2,O,1,7,1754,31,O,49048,.,.,.,1
SWE,1,f,5,5,O,1,7,1754,31,O,94039,.,.,.,1
SWE,1,f,10,5,O,1,7,1754,31,O,87145,.,.,.,1
SWE,1,f,15,5,O,1,7,1754,31,O,83278,.,.,.,1
SWE,1,f,20,5,O,1,7,1754,31,O,84297,.,.,.,1
SWE,1,f,25,5,O,1,7,1754,31,O,78100,.,.,.,1
SWE,1,f,30,5,O,1,7,1754,31,O,71007,.,.,.,1
SWE,1,f,35,5,O,1,7,1754,31,O,57152,.,.,.,1
SWE,1,f,40,5,O,1,7,1754,31,O,53662,.,.,.,1
SWE,1,f,45,5,O,1,7,1754,31,O,43576,.,.,.,1
SWE,1,f,50,5,O,1,7,1754,31,O,45014,.,.,.,1
SWE,1,f,55,5,O,1,7,1754,31,O,33969,.,.,.,1
SWE,1,f,60,5,O,1,7,1754,31,O,35962,.,.,.,1
SWE,1,f,65,5,O,1,7,1754,31,O,29105,.,.,.,1
SWE,1,f,70,5,O,1,7,1754,31,O,20494,.,.,.,1
SWE,1,f,75,5,O,1,7,1754,31,O,10177,.,.,.,1
SWE,1,f,80,5,O,1,7,1754,31,O,5986,.,.,.,1
SWE,1,f,85,5,O,1,7,1754,31,O,2190,.,.,.,1
SWE,1,f,90,+,O,1,7,1754,31,O,900,.,.,.,1
SWE,1,m,0,1,O,1,7,1754,31,O,28096,.,.,.,1
SWE,1,m,1,2,O,1,7,1754,31,O,51579,.,.,.,1
SWE,1,m,3,2,O,1,7,1754,31,O,48330,.,.,.,1
SWE,1,m,5,5,O,1,7,1754,31,O,92416,.,.,.,1
SWE,1,m,10,5,O,1,7,1754,31,O,87570,.,.,.,1
SWE,1,m,15,5,O,1,7,1754,31,O,77252,.,.,.,1
SWE,1,m,20,5,O,1,7,1754,31,O,73473,.,.,.,1
SWE,1,m,25,5,O,1,7,1754,31,O,69498,.,.,.,1
SWE,1,m,30,5,O,1,7,1754,31,O,64326,.,.,.,1
SWE,1,m,35,5,O,1,7,1754,31,O,52670,.,.,.,1
SWE,1,m,40,5,O,1,7,1754,31,O,48076,.,.,.,1
SWE,1,m,45,5,O,1,7,1754,31,O,37752,.,.,.,1
SWE,1,m,50,5,O,1,7,1754,31,O,37009,.,.,.,1
SWE,1,m,55,5,O,1,7,1754,31,O,25813,.,.,.,1
SWE,1,m,60,5,O,1,7,1754,31,O,24807,.,.,.,1
SWE,1,m,65,5,O,1,7,1754,31,O,19642,.,.,.,1
SWE,1,m,70,5,O,1,7,1754,31,O,13523,.,.,.,1
SWE,1,m,75,5,O,1,7,1754,31,O,6542,.,.,.,1
SWE,1,m,80,5,O,1,7,1754,31,O,3332,.,.,.,1
SWE,1,m,85,5,O,1,7,1754,31,O,1295,.,.,.,1
SWE,1,m,90,+,O,1,7,1754,31,O,531,.,.,.,1
SWE,1,f,0,1,O,1,7,1755,31,O,28437,.,.,.,1
SWE,1,f,1,2,O,1,7,1755,31,O,51278,.,.,.,1
SWE,1,f,3,2,O,1,7,1755,31,O,49221,.,.,.,1
SWE,1,f,5,5,O,1,7,1755,31,O,95824,.,.,.,1
SWE,1,f,10,5,O,1,7,1755,31,O,87971,.,.,.,1
SWE,1,f,15,5,O,1,7,1755,31,O,82607,.,.,.,1
SWE,1,f,20,5,O,1,7,1755,31,O,85357,.,.,.,1
SWE,1,f,25,5,O,1,7,1755,31,O,78836,.,.,.,1
SWE,1,f,30,5,O,1,7,1755,31,O,72516,.,.,.,1
SWE,1,f,35,5,O,1,7,1755,31,O,58604,.,.,.,1
SWE,1,f,40,5,O,1,7,1755,31,O,54307,.,.,.,1
SWE,1,f,45,5,O,1,7,1755,31,O,44336,.,.,.,1
SWE,1,f,50,5,O,1,7,1755,31,O,44724,.,.,.,1
SWE,1,f,55,5,O,1,7,1755,31,O,34928,.,.,.,1
SWE,1,f,60,5,O,1,7,1755,31,O,34942,.,.,.,1
SWE,1,f,65,5,O,1,7,1755,31,O,29153,.,.,.,1
SWE,1,f,70,5,O,1,7,1755,31,O,20588,.,.,.,1
SWE,1,f,75,5,O,1,7,1755,31,O,10565,.,.,.,1
SWE,1,f,80,5,O,1,7,1755,31,O,5840,.,.,.,1
SWE,1,f,85,5,O,1,7,1755,31,O,2207,.,.,.,1
SWE,1,f,90,+,O,1,7,1755,31,O,842,.,.,.,1
SWE,1,m,0,1,O,1,7,1755,31,O,28996,.,.,.,1
SWE,1,m,1,2,O,1,7,1755,31,O,50744,.,.,.,1
SWE,1,m,3,2,O,1,7,1755,31,O,48585,.,.,.,1
SWE,1,m,5,5,O,1,7,1755,31,O,94137,.,.,.,1
SWE,1,m,10,5,O,1,7,1755,31,O,88554,.,.,.,1
SWE,1,m,15,5,O,1,7,1755,31,O,77165,.,.,.,1
SWE,1,m,20,5,O,1,7,1755,31,O,73732,.,.,.,1
SWE,1,m,25,5,O,1,7,1755,31,O,69169,.,.,.,1
SWE,1,m,30,5,O,1,7,1755,31,O,65894,.,.,.,1
SWE,1,m,35,5,O,1,7,1755,31,O,54073,.,.,.,1
SWE,1,m,40,5,O,1,7,1755,31,O,49077,.,.,.,1
SWE,1,m,45,5,O,1,7,1755,31,O,38491,.,.,.,1
SWE,1,m,50,5,O,1,7,1755,31,O,37108,.,.,.,1
SWE,1,m,55,5,O,1,7,1755,31,O,26971,.,.,.,1
SWE,1,m,60,5,O,1,7,1755,31,O,24498,.,.,.,1
SWE,1,m,65,5,O,1,7,1755,31,O,19592,.,.,.,1
SWE,1,m,70,5,O,1,7,1755,31,O,13701,.,.,.,1
SWE,1,m,75,5,O,1,7,1755,31,O,6832,.,.,.,1
SWE,1,m,80,5,O,1,7,1755,31,O,3284,.,.,.,1
SWE,1,m,85,5,O,1,7,1755,31,O,1308,.,.,.,1
SWE,1,m,90,+,O,1,7,1755,31,O,508,.,.,.,1
SWE,1,f,0,1,O,1,7,1756,31,O,28502,.,.,.,1
SWE,1,f,1,2,O,1,7,1756,31,O,51973,.,.,.,1
SWE,1,f,3,2,O,1,7,1756,31,O,47860,.,.,.,1
SWE,1,f,5,5,O,1,7,1756,31,O,97795,.,.,.,1
SWE,1,f,10,5,O,1,7,1756,31,O,89944,.,.,.,1
SWE,1,f,15,5,O,1,7,1756,31,O,82006,.,.,.,1
SWE,1,f,20,5,O,1,7,1756,31,O,85208,.,.,.,1
SWE,1,f,25,5,O,1,7,1756,31,O,79030,.,.,.,1
SWE,1,f,30,5,O,1,7,1756,31,O,73646,.,.,.,1
SWE,1,f,35,5,O,1,7,1756,31,O,60806,.,.,.,1
SWE,1,f,40,5,O,1,7,1756,31,O,54702,.,.,.,1
SWE,1,f,45,5,O,1,7,1756,31,O,45738,.,.,.,1
SWE,1,f,50,5,O,1,7,1756,31,O,43796,.,.,.,1
SWE,1,f,55,5,O,1,7,1756,31,O,36518,.,.,.,1
SWE,1,f,60,5,O,1,7,1756,31,O,34231,.,.,.,1
SWE,1,f,65,5,O,1,7,1756,31,O,28890,.,.,.,1
SWE,1,f,70,5,O,1,7,1756,31,O,20454,.,.,.,1
SWE,1,f,75,5,O,1,7,1756,31,O,10945,.,.,.,1
SWE,1,f,80,5,O,1,7,1756,31,O,5688,.,.,.,1
SWE,1,f,85,5,O,1,7,1756,31,O,2158,.,.,.,1
SWE,1,f,90,+,O,1,7,1756,31,O,782,.,.,.,1
SWE,1,m,0,1,O,1,7,1756,31,O,28936,.,.,.,1
SWE,1,m,1,2,O,1,7,1756,31,O,51476,.,.,.,1
SWE,1,m,3,2,O,1,7,1756,31,O,47260,.,.,.,1
SWE,1,m,5,5,O,1,7,1756,31,O,96101,.,.,.,1
SWE,1,m,10,5,O,1,7,1756,31,O,90294,.,.,.,1
SWE,1,m,15,5,O,1,7,1756,31,O,76949,.,.,.,1
SWE,1,m,20,5,O,1,7,1756,31,O,73604,.,.,.,1
SWE,1,m,25,5,O,1,7,1756,31,O,68944,.,.,.,1
SWE,1,m,30,5,O,1,7,1756,31,O,66659,.,.,.,1
SWE,1,m,35,5,O,1,7,1756,31,O,55779,.,.,.,1
SWE,1,m,40,5,O,1,7,1756,31,O,49473,.,.,.,1
SWE,1,m,45,5,O,1,7,1756,31,O,39767,.,.,.,1
SWE,1,m,50,5,O,1,7,1756,31,O,36429,.,.,.,1
SWE,1,m,55,5,O,1,7,1756,31,O,28649,.,.,.,1
SWE,1,m,60,5,O,1,7,1756,31,O,24189,.,.,.,1
SWE,1,m,65,5,O,1,7,1756,31,O,19349,.,.,.,1
SWE,1,m,70,5,O,1,7,1756,31,O,13670,.,.,.,1
SWE,1,m,75,5,O,1,7,1756,31,O,7128,.,.,.,1
SWE,1,m,80,5,O,1,7,1756,31,O,3252,.,.,.,1
SWE,1,m,85,5,O,1,7,1756,31,O,1318,.,.,.,1
SWE,1,m,90,+,O,1,7,1756,31,O,482,.,.,.,1
SWE,1,f,0,1,O,1,7,1757,31,O,26966,.,.,.,1
SWE,1,f,1,2,O,1,7,1757,31,O,51558,.,.,.,1
SWE,1,f,3,2,O,1,7,1757,31,O,48891,.,.,.,1
SWE,1,f,5,5,O,1,7,1757,31,O,99430,.,.,.,1
SWE,1,f,10,5,O,1,7,1757,31,O,91610,.,.,.,1
SWE,1,f,15,5,O,1,7,1757,31,O,81133,.,.,.,1
SWE,1,f,20,5,O,1,7,1757,31,O,84767,.,.,.,1
SWE,1,f,25,5,O,1,7,1757,31,O,78955,.,.,.,1
SWE,1,f,30,5,O,1,7,1757,31,O,74525,.,.,.,1
SWE,1,f,35,5,O,1,7,1757,31,O,62803,.,.,.,1
SWE,1,f,40,5,O,1,7,1757,31,O,54910,.,.,.,1
SWE,1,f,45,5,O,1,7,1757,31,O,46982,.,.,.,1
SWE,1,f,50,5,O,1,7,1757,31,O,42717,.,.,.,1
SWE,1,f,55,5,O,1,7,1757,31,O,37984,.,.,.,1
SWE,1,f,60,5,O,1,7,1757,31,O,33404,.,.,.,1
SWE,1,f,65,5,O,1,7,1757,31,O,28528,.,.,.,1
SWE,1,f,70,5,O,1,7,1757,31,O,20251,.,.,.,1
SWE,1,f,75,5,O,1,7,1757,31,O,11286,.,.,.,1
SWE,1,f,80,5,O,1,7,1757,31,O,5517,.,.,.,1
SWE,1,f,85,5,O,1,7,1757,31,O,2102,.,.,.,1
SWE,1,f,90,+,O,1,7,1757,31,O,721,.,.,.,1
SWE,1,m,0,1,O,1,7,1757,31,O,27275,.,.,.,1
SWE,1,m,1,2,O,1,7,1757,31,O,51033,.,.,.,1
SWE,1,m,3,2,O,1,7,1757,31,O,48265,.,.,.,1
SWE,1,m,5,5,O,1,7,1757,31,O,97682,.,.,.,1
SWE,1,m,10,5,O,1,7,1757,31,O,91672,.,.,.,1
SWE,1,m,15,5,O,1,7,1757,31,O,76419,.,.,.,1
SWE,1,m,20,5,O,1,7,1757,31,O,73182,.,.,.,1
SWE,1,m,25,5,O,1,7,1757,31,O,68441,.,.,.,1
SWE,1,m,30,5,O,1,7,1757,31,O,67256,.,.,.,1
SWE,1,m,35,5,O,1,7,1757,31,O,57261,.,.,.,1
SWE,1,m,40,5,O,1,7,1757,31,O,49670,.,.,.,1
SWE,1,m,45,5,O,1,7,1757,31,O,40885,.,.,.,1
SWE,1,m,50,5,O,1,7,1757,31,O,35661,.,.,.,1
SWE,1,m,55,5,O,1,7,1757,31,O,30211,.,.,.,1
SWE,1,m,60,5,O,1,7,1757,31,O,23770,.,.,.,1
SWE,1,m,65,5,O,1,7,1757,31,O,19025,.,.,.,1
SWE,1,m,70,5,O,1,7,1757,31,O,13589,.,.,.,1
SWE,1,m,75,5,O,1,7,1757,31,O,7395,.,.,.,1
SWE,1,m,80,5,O,1,7,1757,31,O,3209,.,.,.,1
SWE,1,m,85,5,O,1,7,1757,31,O,1324,.,.,.,1
SWE,1,m,90,+,O,1,7,1757,31,O,456,.,.,.,1
SWE,1,f,0,1,O,1,7,1758,31,O,26004,.,.,.,1
SWE,1,f,1,2,O,1,7,1758,31,O,50359,.,.,.,1
SWE,1,f,3,2,O,1,7,1758,31,O,50761,.,.,.,1
SWE,1,f,5,5,O,1,7,1758,31,O,98894,.,.,.,1
SWE,1,f,10,5,O,1,7,1758,31,O,92581,.,.,.,1
SWE,1,f,15,5,O,1,7,1758,31,O,80620,.,.,.,1
SWE,1,f,20,5,O,1,7,1758,31,O,84018,.,.,.,1
SWE,1,f,25,5,O,1,7,1758,31,O,78945,.,.,.,1
SWE,1,f,30,5,O,1,7,1758,31,O,74638,.,.,.,1
SWE,1,f,35,5,O,1,7,1758,31,O,63913,.,.,.,1
SWE,1,f,40,5,O,1,7,1758,31,O,55277,.,.,.,1
SWE,1,f,45,5,O,1,7,1758,31,O,47796,.,.,.,1
